time,tug_id,B,C,D,E,F,G,H,M
1800,0,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
1800,1,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
1800,2,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
1800,3,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
1800,4,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
1800,5,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
1800,6,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
1800,7,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
1800,8,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
1800,9,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
1800,10,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
1800,11,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
1800,12,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
1800,13,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
1800,14,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
1800,15,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
1800,16,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
1800,17,50.0,50.0,48.0,50.0,50.0,50.0,50.0,50.0
1800,18,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
1800,19,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
1800,20,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
1800,21,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
1800,22,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
1800,23,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
1800,24,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
1800,25,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
1800,26,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
1800,27,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
1800,28,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
2400,0,50.0,50.0,50.1,50.0,50.0,50.0,50.0,50.0
